age,income_usd,wealth_usd,risk_score,horizon_years,debt_to_income,market_vol,invest_risky
26,110060,195377,1.115,10,0.247,0.133,1
46,72608,177673,1.854,3,0.258,0.221,1
57,105339,257962,0.094,21,0.214,0.161,1
61,82714,258504,1.019,2,0.237,0.161,1
43,40806,14374,0.399,3,0.037,0.226,1
53,90431,120806,-0.383,18,0.035,0.281,1
48,51911,239068,-1.925,20,0.169,0.316,1
69,37812,103671,1.626,18,0.277,0.189,1
53,96375,154968,-1.049,28,0.676,0.163,1
41,114864,294791,1.383,9,0.368,0.155,1
69,117115,161333,0.537,17,0.423,0.215,1
26,119509,582753,-0.976,10,0.09,0.171,1
70,34244,413610,0.312,11,0.279,0.171,1
28,45572,134818,2.133,5,0.269,0.175,1
35,241428,125511,1.536,24,0.215,0.123,1
62,53314,11535,-0.513,22,0.171,0.05,0
57,122148,111808,-0.712,22,0.292,0.14,1
69,63838,44376,0.1,5,0.429,0.267,1
58,93658,183047,-0.166,4,0.094,0.265,1
52,65574,172125,1.2,24,0.49,0.236,1
38,119173,280593,0.74,20,0.326,0.15,1
21,96370,527231,-1.692,1,0.2,0.133,1
27,71928,146495,0.459,20,0.128,0.277,1
35,53235,1167955,-0.179,30,0.333,0.115,1
23,102894,184905,0.037,23,0.092,0.182,1
46,49080,46129,0.249,9,0.312,0.281,1
59,111447,90448,1.199,10,0.363,0.187,1
69,334639,107250,0.978,23,0.022,0.162,1
45,176778,255584,-0.75,13,0.321,0.25,1
64,128893,63951,-0.059,23,0.055,0.184,1
70,86229,114716,-0.449,29,0.013,0.192,1
63,34139,129762,-1.682,13,0.222,0.271,0
44,46463,100216,-0.109,18,0.291,0.05,1
37,170922,311347,1.845,15,0.251,0.202,1
69,60639,267154,-1.712,16,0.337,0.134,1
33,63446,428609,-0.024,3,0.488,0.168,1
41,82846,111354,-0.056,30,0.493,0.187,1
24,52920,442708,0.288,17,0.189,0.139,1
60,48736,43949,-0.963,7,0.171,0.194,1
53,87757,42995,-1.425,18,0.177,0.203,1
25,57630,50310,-1.379,12,0.123,0.192,1
32,62134,151249,1.331,25,0.267,0.187,1
48,60899,442648,-0.983,23,0.517,0.173,0
48,116862,87244,-0.5,12,0.487,0.174,1
61,80138,97672,2.105,22,0.217,0.185,1
34,82313,123497,-0.734,1,0.14,0.123,1
67,121302,251183,0.342,30,0.222,0.256,1
43,83830,97590,1.064,16,0.304,0.175,1
62,78311,92811,1.016,20,0.324,0.156,1
32,113867,44691,-1.332,20,0.295,0.204,0
22,125701,89666,-0.713,10,0.248,0.173,1
23,83619,432833,0.302,21,0.274,0.255,1
39,93701,162791,1.929,12,0.648,0.234,1
68,60881,77074,-0.762,21,0.661,0.186,1
23,58526,456307,-0.494,3,0.227,0.236,0
39,132209,88583,0.42,5,0.22,0.194,1
26,112424,538397,0.62,28,0.196,0.111,1
67,113008,530533,0.68,23,0.558,0.233,1
54,103569,157755,-0.846,4,0.432,0.066,1
59,92103,38937,-0.532,7,0.09,0.05,1
56,127487,1177544,0.216,17,0.405,0.222,1
53,143648,212551,1.262,1,0.509,0.207,1
59,141943,112071,-0.238,13,0.485,0.203,1
21,85577,354657,-0.022,10,0.137,0.263,1
64,180063,282226,-1.026,5,0.334,0.179,1
57,100891,488080,1.863,9,0.19,0.157,1
57,123470,82642,0.154,9,0.201,0.228,1
40,103633,199789,1.078,3,0.184,0.137,1
61,101831,51591,0.03,20,0.056,0.166,1
40,62298,273236,0.085,9,0.281,0.195,1
23,127802,146934,-1.5,1,0.266,0.2,1
66,373328,193165,-2.151,1,0.289,0.16,1
32,74620,131489,1.252,29,0.386,0.151,1
26,93252,119671,0.078,4,0.483,0.113,1
52,72003,68664,0.206,28,0.049,0.133,1
32,70513,305522,-1.249,5,0.113,0.289,1
63,194812,573277,-0.903,3,0.14,0.164,1
43,64285,90889,1.062,17,0.534,0.191,1
21,71006,246860,1.74,27,0.396,0.091,1
68,40693,221318,-0.621,3,0.308,0.334,1
46,61621,151097,0.671,10,0.267,0.128,0
34,38306,37966,0.19,23,0.051,0.109,1
54,123435,46488,-0.121,3,0.385,0.176,1
47,364913,74273,1.852,6,0.266,0.126,1
22,74924,21879,-0.453,10,0.1,0.202,1
58,39112,532649,1.241,25,0.194,0.089,1
41,141148,208840,0.381,25,0.1,0.248,1
55,62574,146009,-0.017,22,0.375,0.236,1
65,172342,20893,1.372,20,0.211,0.173,1
51,78163,29054,0.29,1,0.315,0.081,1
54,65621,149684,-0.096,8,0.422,0.131,0
33,82338,883663,1.379,28,0.124,0.184,1
32,131459,79986,1.249,22,0.06,0.107,1
41,80326,326377,1.202,8,0.061,0.117,1
63,70207,97390,-2.5,22,0.319,0.243,1
47,81483,157646,0.44,22,0.506,0.189,1
38,47650,447578,0.212,23,0.337,0.187,1
59,109763,109868,-0.035,30,0.168,0.212,1
63,36835,80603,0.61,17,0.278,0.17,1
66,72078,537484,0.261,2,0.054,0.176,0
35,131565,156278,0.678,25,0.18,0.207,1
56,104725,400502,-0.268,1,0.534,0.229,0
50,120901,80956,1.498,20,0.216,0.21,1
43,87120,531999,0.779,24,0.327,0.268,1
40,161529,191886,0.543,4,0.659,0.181,1
26,142902,221837,0.494,24,0.126,0.099,1
34,112492,168865,1.157,25,0.425,0.245,1
48,143106,95174,1.022,20,0.228,0.165,1
65,130977,149773,-0.113,10,0.172,0.134,1
64,72246,100716,0.99,7,0.122,0.223,1
30,45964,355749,0.174,22,0.36,0.202,1
54,111051,124946,1.917,5,0.062,0.103,1
25,118256,39008,1.098,21,0.07,0.22,1
54,155251,33087,-0.626,6,0.126,0.292,1
38,56354,31709,2.331,11,0.372,0.199,1
43,57202,261598,-2.102,16,0.187,0.165,1
56,113268,53212,0.637,5,0.147,0.08,1
42,86854,196510,-0.696,24,0.451,0.303,1
61,35055,169619,1.882,21,0.062,0.149,1
47,108567,141514,0.253,1,0.526,0.096,1
70,35645,222561,-0.794,26,0.266,0.187,1
52,56103,172968,-0.266,22,0.204,0.24,1
35,176912,13090,-0.714,26,0.089,0.254,1
59,224135,112098,-0.306,19,0.259,0.14,0
41,49008,219912,-0.329,19,0.106,0.174,1
47,76334,656478,-0.751,12,0.448,0.18,1
27,91939,684335,0.27,7,0.333,0.239,0
26,219296,43983,0.391,8,0.567,0.216,1
49,70342,109495,-0.996,10,0.134,0.196,1
30,70907,36640,-1.658,9,0.087,0.235,1
70,195229,589062,0.311,23,0.105,0.098,1
63,74620,373234,0.532,16,0.72,0.205,1
56,129142,205648,0.73,13,0.289,0.193,1
57,43002,174185,0.551,22,0.292,0.177,1
50,82615,519675,1.573,22,0.22,0.165,1
24,39252,446227,0.997,29,0.467,0.188,1
40,53096,425334,2.5,10,0.132,0.146,1
45,136922,226251,2.5,8,0.252,0.344,1
66,87782,109544,-1.758,1,0.309,0.262,0
31,76727,299181,-2.197,5,0.437,0.246,1
45,61895,312646,-0.007,19,0.365,0.148,1
38,80599,126351,0.504,25,0.566,0.123,1
27,104623,109345,-0.076,19,0.125,0.167,1
26,147123,415972,0.704,30,0.2,0.187,1
39,24221,670712,-0.27,19,0.477,0.093,1
25,59378,76415,-0.694,27,0.269,0.209,1
24,97452,118344,-0.543,9,0.396,0.245,1
38,85659,205712,-0.2,10,0.289,0.05,1
31,110112,232427,0.844,25,0.301,0.126,1
48,102882,93738,-0.487,20,0.069,0.254,1
21,77275,817135,-0.289,15,0.349,0.202,1
36,69157,219318,0.57,29,0.339,0.128,1
43,79604,241986,-0.199,23,0.096,0.224,1
69,159841,730428,1.117,9,0.243,0.144,1
52,62415,100131,-0.92,19,0.16,0.166,1
65,87218,138524,-1.136,12,0.59,0.112,1
38,98640,48552,0.305,13,0.201,0.181,1
43,196367,128447,0.404,25,0.053,0.241,1
42,77452,39275,-0.865,21,0.459,0.151,1
65,145360,294035,1.344,1,0.355,0.219,1
68,166634,218904,1.925,18,0.197,0.177,1
69,87176,116895,-0.628,20,0.279,0.245,1
58,81000,137037,1.487,16,0.324,0.152,1
46,76347,297661,-2.382,9,0.364,0.273,0
48,79194,53969,1.076,20,0.234,0.221,1
70,137955,180257,-0.858,29,0.331,0.195,1
35,101020,281517,0.976,3,0.407,0.197,1
38,101236,30162,-0.961,19,0.08,0.152,1
65,51275,277849,-0.068,28,0.109,0.148,1
40,55482,33247,-0.81,13,0.172,0.196,1
32,262837,134936,-0.214,11,0.076,0.108,1
49,82343,52646,1.83,8,0.62,0.144,1
37,61095,543896,-0.108,7,0.106,0.124,1
65,184078,52944,2.11,12,0.432,0.214,1
66,103618,33970,-0.386,24,0.085,0.215,1
36,120168,169127,1.492,6,0.147,0.256,1
47,83997,103369,-1.626,7,0.411,0.16,0
70,76744,38725,-0.287,30,0.51,0.132,1
58,82683,240776,-0.536,30,0.093,0.092,1
31,45080,24985,1.538,7,0.386,0.196,1
50,86129,59028,0.185,13,0.057,0.264,1
51,104358,89384,-2.088,13,0.092,0.176,1
53,227021,308782,-1.31,9,0.452,0.182,1
22,93954,481332,-1.013,5,0.586,0.18,1
35,28014,404697,0.934,2,0.475,0.195,1
63,85868,130672,0.805,19,0.44,0.24,1
33,354094,16879,-0.3,2,0.324,0.295,1
35,138794,213237,-0.549,19,0.208,0.21,1
37,60001,563491,0.716,3,0.518,0.214,1
29,120948,455341,-1.13,5,0.345,0.166,1
28,62104,227532,0.458,1,0.151,0.174,1
38,45737,51423,0.373,12,0.095,0.173,1
64,75613,93490,-0.275,10,0.14,0.158,1
21,94214,854972,0.398,10,0.242,0.188,1
35,35295,41912,0.102,10,0.199,0.217,1
24,50665,53388,0.497,29,0.419,0.184,1
49,90466,350350,-1.334,13,0.111,0.163,1
33,73385,101757,0.615,25,0.316,0.188,1
60,109641,51783,1.027,7,0.042,0.122,1
50,49032,593365,0.321,15,0.172,0.228,1
60,128621,227144,0.601,2,0.505,0.155,1
52,49796,106380,-0.11,8,0.15,0.111,1
42,204625,53487,0.891,3,0.394,0.208,1
64,38165,947002,0.065,1,0.074,0.211,1
44,52119,146735,-1.148,6,0.153,0.128,1
68,110885,527543,0.82,5,0.285,0.217,1
70,206836,335260,-1.634,10,0.442,0.218,1
50,105355,93862,0.283,23,0.279,0.298,1
54,119252,94537,-0.384,5,0.317,0.166,1
33,90793,551322,-0.448,19,0.114,0.177,1
61,53872,559420,0.172,11,0.281,0.144,1
54,70439,27699,-0.709,13,0.288,0.21,1
66,49100,246026,0.512,28,0.221,0.18,1
34,47487,134497,0.057,14,0.504,0.239,1
60,110022,59184,-0.617,8,0.117,0.154,0
44,51327,189845,1.338,8,0.064,0.208,1
30,105592,44523,0.205,6,0.31,0.166,1
29,46941,98576,0.631,25,0.405,0.069,1
49,104376,73113,1.417,20,0.259,0.218,1
36,70490,95662,1.4,9,0.356,0.075,1
26,181838,140654,0.58,15,0.584,0.17,1
42,105813,60137,-0.303,16,0.171,0.171,1
53,166951,618005,-1.43,2,0.086,0.179,1
36,61682,233829,0.207,28,0.414,0.183,0
68,92562,754264,1.095,24,0.178,0.182,1
59,55106,129874,0.354,17,0.284,0.202,1
46,73186,91535,-2.5,22,0.342,0.173,1
67,78945,730120,0.87,4,0.364,0.337,1
42,62607,89155,0.931,30,0.771,0.159,1
27,49012,127762,-0.301,20,0.323,0.107,1
22,44392,286769,0.988,29,0.076,0.095,1
67,27937,49239,0.628,26,0.692,0.219,1
68,53071,284519,-0.686,18,0.543,0.085,1
57,123169,253572,1.271,9,0.332,0.107,1
26,40470,470139,-1.267,21,0.378,0.099,1
35,45411,334179,-0.057,16,0.147,0.207,1
23,220359,483289,-0.157,13,0.395,0.26,1
23,65468,135810,-0.825,22,0.121,0.123,1
33,105671,69009,0.304,27,0.254,0.205,1
49,124085,1001869,1.31,6,0.163,0.05,1
24,125345,37963,1.248,17,0.262,0.135,1
70,42041,41545,0.724,24,0.329,0.216,1
43,80180,249448,-1.696,10,0.065,0.161,1
34,40073,647503,-1.336,11,0.368,0.24,1
46,305811,177902,0.166,1,0.086,0.05,1
60,40543,368709,-0.034,10,0.416,0.136,1
36,53298,24889,-0.498,18,0.317,0.207,1
23,53491,95683,1.905,30,0.162,0.206,1
23,42584,27773,0.106,16,0.08,0.211,1
63,176992,302780,0.542,9,0.38,0.192,1
26,302183,37268,0.988,25,0.457,0.111,1
52,70947,47494,0.055,6,0.169,0.133,1
40,46507,238235,2.5,6,0.276,0.319,1
59,29410,390051,-0.94,16,0.197,0.104,1
24,79659,130004,-0.606,25,0.806,0.095,1
65,76832,250583,-0.943,7,0.192,0.221,1
55,64985,243385,1.563,1,0.276,0.116,1
43,100534,123563,0.802,22,0.556,0.288,1
31,109661,56003,-0.544,18,0.168,0.344,1
69,105779,249395,-0.864,21,0.296,0.166,1
36,76842,260453,1.385,12,0.289,0.199,1
45,51883,335378,0.362,4,0.345,0.071,0
40,125553,198640,1.41,10,0.208,0.242,1
32,90565,52404,-0.06,15,0.696,0.05,1
41,140329,279204,0.512,13,0.338,0.1,1
28,133600,149814,0.3,27,0.199,0.187,1
21,44209,97142,-0.624,7,0.114,0.213,1
35,43934,115061,-0.144,10,0.406,0.091,1
26,61685,80592,-1.184,6,0.312,0.147,1
41,53073,333818,0.494,18,0.299,0.08,1
64,131294,41860,0.761,25,0.409,0.161,1
29,107282,61344,0.99,27,0.287,0.132,1
21,155929,111580,0.667,7,0.237,0.142,1
26,109733,640988,-0.128,13,0.18,0.219,1
46,99896,387412,1.552,23,0.47,0.197,1
34,163969,34257,0.892,2,0.372,0.214,1
45,113826,506157,1.389,22,0.119,0.172,1
22,93117,505280,1.451,5,0.355,0.223,1
37,188677,52145,-0.126,2,0.266,0.178,1
41,95335,15507,0.388,4,0.292,0.151,1
42,77296,140560,0.775,27,0.24,0.214,1
48,59199,411915,-1.149,21,0.092,0.155,1
60,127909,628145,-1.127,24,0.182,0.16,1
44,167057,68504,-1.299,21,0.273,0.244,1
63,87752,725903,-0.108,24,0.196,0.238,1
47,173082,20196,-0.333,15,0.335,0.162,1
34,33609,107704,-1.436,25,0.239,0.232,1
32,87539,103043,0.149,2,0.284,0.103,1
37,88214,423155,-0.096,18,0.343,0.163,1
50,62572,482561,1.182,23,0.152,0.135,1
33,296409,354049,2.013,30,0.14,0.18,1
66,87070,44484,0.456,11,0.191,0.224,1
44,73401,326031,-0.697,6,0.117,0.213,1
64,91176,237169,0.647,22,0.394,0.205,1
55,33063,33332,0.009,3,0.496,0.188,0
37,61552,23344,-0.24,24,0.114,0.17,1
32,147147,381773,-0.862,22,0.554,0.252,1
58,65716,127555,-0.464,21,0.426,0.087,1
37,59464,47180,-0.178,9,0.278,0.14,1
33,173222,124372,0.804,4,0.15,0.205,1
67,175904,208153,0.511,19,0.241,0.272,1
45,116548,139222,1.826,11,0.294,0.159,1
23,71683,37109,0.674,12,0.12,0.164,1
45,79844,818634,0.424,6,0.351,0.103,1
44,60204,370344,-0.306,11,0.105,0.148,1
64,54731,110918,-1.037,25,0.306,0.222,1
56,53389,115014,-0.57,27,0.591,0.275,1
30,66074,207301,-0.7,11,0.269,0.162,1
28,53648,54270,-2.5,5,0.166,0.132,0
51,41180,200546,-1.009,2,0.441,0.184,0
23,100435,45285,1.602,6,0.521,0.083,1
36,101201,140774,0.369,1,0.364,0.254,1
27,210652,52401,-0.377,21,0.232,0.106,1
22,64434,54837,0.398,20,0.547,0.199,1
66,104361,659700,-1.953,24,0.124,0.198,1
25,105232,158212,0.282,10,0.427,0.218,1
21,79272,180784,1.277,25,0.366,0.195,1
67,130579,24542,-0.121,6,0.181,0.18,1
30,132612,87648,-1.772,7,0.171,0.206,1
61,106008,227176,-0.414,28,0.08,0.23,1
22,79201,178637,1.279,27,0.147,0.288,1
28,75267,21585,0.259,18,0.136,0.114,1
26,45419,180740,-1.418,19,0.082,0.07,1
56,60151,208625,2.368,22,0.286,0.087,1
52,65944,476287,-1.254,25,0.213,0.071,1
44,51307,83173,-0.243,7,0.522,0.108,1
33,112143,19941,-1.037,3,0.3,0.1,1
25,163714,61163,-1.036,6,0.382,0.155,1
49,57156,55884,-0.452,11,0.316,0.231,1
32,103703,291102,0.636,8,0.461,0.218,1
50,53665,13008,1.291,16,0.357,0.143,1
55,77273,100195,-0.386,5,0.181,0.148,1
63,63729,541234,-1.01,18,0.342,0.301,1
45,121602,150977,0.479,22,0.188,0.216,1
21,64098,336070,0.508,3,0.046,0.19,1
35,149253,34227,0.24,9,0.122,0.187,1
63,79595,35476,0.276,17,0.276,0.163,1
47,65040,546838,-0.113,2,0.516,0.3,1
51,48094,164306,0.098,20,0.256,0.169,1
43,102147,164611,-0.182,23,0.471,0.189,1
29,140811,54833,1.07,11,0.287,0.081,1
65,103180,164242,2.228,1,0.3,0.142,1
59,275676,53479,0.18,16,0.223,0.147,1
70,183957,436513,-0.007,27,0.378,0.209,1
63,77173,1747048,0.256,9,0.292,0.133,1
35,76769,231871,-0.658,26,0.115,0.183,1
33,113825,84706,0.765,27,0.704,0.144,1
33,59193,15338,0.441,9,0.488,0.114,0
66,161250,32938,-0.42,18,0.402,0.112,1
48,107836,607900,0.902,2,0.425,0.17,1
43,102313,59404,0.019,17,0.194,0.186,1
69,126886,107435,-0.97,27,0.304,0.168,0
51,212986,270542,0.352,29,0.078,0.13,1
66,98031,569464,0.237,6,0.264,0.172,1
70,85054,125337,0.96,20,0.438,0.161,1
24,191362,104213,0.832,2,0.169,0.117,1
39,145997,159987,-0.109,9,0.316,0.185,1
57,76655,85265,-0.472,26,0.035,0.289,1
61,90234,89496,0.002,20,0.276,0.171,1
28,99236,217311,0.363,12,0.307,0.092,1
36,107847,177221,0.484,29,0.351,0.268,1
48,45673,1021554,0.301,23,0.311,0.255,1
60,41619,222650,-0.091,1,0.28,0.266,1
26,57749,422702,0.997,3,0.665,0.177,1
51,55559,57196,-0.674,19,0.486,0.133,1
35,65229,240634,2.479,27,0.374,0.126,1
31,123614,78253,0.763,5,0.542,0.248,1
46,82710,214121,-1.127,17,0.209,0.276,1
41,99286,278745,0.185,25,0.272,0.125,1
52,48796,156886,0.773,26,0.219,0.05,1
36,71449,1309274,-0.349,20,0.235,0.179,1
62,120716,542299,-1.495,30,0.403,0.126,1
24,121181,432748,-1.039,29,0.228,0.138,1
64,62647,298417,0.542,26,0.312,0.166,1
22,97577,733377,-1.755,21,0.362,0.205,1
57,270219,41156,-1.449,30,0.495,0.133,1
38,89212,514857,0.537,1,0.216,0.188,1
40,63638,61468,-0.223,3,0.177,0.172,1
21,82511,90263,-0.696,16,0.142,0.05,1
56,94245,248611,-0.495,21,0.555,0.213,1
29,83448,455107,-1.471,28,0.248,0.153,0
53,88600,53113,0.484,21,0.221,0.104,1
57,43732,94570,-0.807,7,0.367,0.136,1
63,55617,163762,-0.536,28,0.143,0.192,1
56,83525,126837,0.347,3,0.572,0.183,1
36,82862,323521,-0.257,3,0.238,0.219,1
57,67810,3304268,-0.705,22,0.446,0.206,1
62,82377,218771,-1.989,29,0.222,0.11,0
36,92788,77398,0.367,16,0.403,0.05,1
27,140403,46702,0.079,5,0.27,0.187,1
65,85644,111934,-0.517,2,0.284,0.218,0
28,109877,64355,-1.037,30,0.399,0.168,0
50,68649,228476,0.013,9,0.257,0.22,1
32,119804,225305,0.48,20,0.27,0.12,1
27,108600,98868,0.098,10,0.374,0.159,1
59,138756,895243,1.638,7,0.195,0.125,1
28,128579,77380,0.705,21,0.428,0.222,1
54,120805,134713,-0.107,23,0.31,0.125,1
55,85678,266635,0.738,15,0.161,0.304,1
24,101726,334784,0.049,16,0.289,0.15,1
29,153172,473643,0.045,15,0.154,0.228,1
60,64960,220585,1.296,18,0.256,0.151,1
46,65733,386239,-0.898,25,0.279,0.26,1
27,98546,82437,0.023,22,0.037,0.258,1
70,110769,342718,1.19,9,0.31,0.161,1
34,59606,338624,0.309,8,0.186,0.196,1
21,86698,585364,-0.369,21,0.182,0.256,1
67,85868,33416,-1.706,20,0.335,0.198,1
21,29730,66299,-2.27,12,0.129,0.125,1
48,80641,314650,2.076,26,0.177,0.184,1
70,83192,13796,0.309,13,0.532,0.135,1
49,83068,233560,-0.584,11,0.095,0.189,1
50,182686,389342,0.349,17,0.256,0.133,1
40,49004,89291,-0.948,6,0.181,0.202,0
27,59591,101846,-0.331,21,0.318,0.073,1
49,24379,57049,-0.941,27,0.161,0.113,1
65,70764,93807,-1.413,29,0.2,0.132,1
25,73846,96286,-2.105,14,0.172,0.17,1
65,69743,81132,-1.598,9,0.477,0.089,0
41,156593,77225,1.021,15,0.317,0.127,1
47,138396,117534,-0.987,4,0.153,0.227,0
29,93573,116261,0.535,21,0.086,0.234,1
52,74776,810259,0.957,13,0.163,0.05,1
30,150341,105201,0.017,4,0.553,0.145,1
34,89115,204460,-0.299,17,0.127,0.256,1
57,59780,89250,0.133,22,0.257,0.203,1
23,38156,88235,-0.417,7,0.263,0.204,0
43,72179,32353,1.204,13,0.27,0.214,1
50,131254,36467,1.877,27,0.052,0.122,1
27,280923,50619,1.45,22,0.063,0.193,1
35,92816,176967,-2.152,24,0.281,0.208,1
38,61383,395121,-0.437,14,0.241,0.186,1
54,49766,30043,0.004,15,0.226,0.156,1
69,118604,91512,0.463,15,0.113,0.177,1
62,37244,43835,-1.727,14,0.371,0.112,1
30,118508,118248,-1.743,5,0.082,0.217,1
21,135459,394977,1.307,2,0.021,0.094,1
23,111938,100328,-0.559,25,0.249,0.131,1
50,80639,143720,-1.487,17,0.248,0.221,1
28,119376,555762,-1.104,16,0.442,0.197,1
32,98031,226500,0.39,18,0.221,0.151,1
63,60992,75683,-0.823,13,0.351,0.077,1
64,227015,173064,0.242,27,0.242,0.177,1
62,75488,71225,-0.979,15,0.421,0.142,1
33,132646,218999,-1.744,16,0.112,0.209,1
51,26856,238517,1.424,16,0.475,0.149,1
51,170382,43824,0.398,5,0.165,0.075,1
30,187577,175611,-0.334,6,0.065,0.097,1
48,91353,134939,-0.521,6,0.248,0.154,1
47,119009,244899,1.465,8,0.366,0.187,1
40,118993,316983,0.592,5,0.142,0.11,1
58,65263,230521,1.147,7,0.254,0.134,1
54,118317,114178,-0.584,29,0.063,0.228,1
47,60069,347454,0.051,11,0.29,0.247,1
57,66382,68366,0.402,24,0.058,0.197,1
59,158108,45703,-0.55,12,0.025,0.163,1
49,146517,8456,-0.096,25,0.068,0.143,1
34,63220,140824,-0.584,23,0.055,0.212,1
58,62366,71611,0.399,26,0.327,0.161,1
56,65171,214565,-1.321,9,0.3,0.235,0
70,129817,25445,0.572,3,0.056,0.238,1
28,54588,83778,0.311,10,0.435,0.205,1
41,107573,229036,-0.203,22,0.124,0.15,1
67,130743,59370,0.45,20,0.076,0.155,1
46,86115,216798,-0.365,22,0.632,0.081,1
68,149133,90860,-0.67,30,0.089,0.177,1
21,77297,145636,0.544,7,0.233,0.175,1
22,80873,256282,0.587,14,0.22,0.097,1
60,55212,353595,-0.507,15,0.368,0.322,1
38,149665,163021,-0.593,5,0.224,0.213,1
47,61347,72098,-0.183,20,0.174,0.13,1
42,107200,99325,-0.552,2,0.656,0.303,1
41,86847,266106,1.525,27,0.094,0.15,1
67,53166,59830,0.316,3,0.234,0.23,1
25,66371,127788,0.015,4,0.444,0.185,0
59,179692,105989,-0.933,6,0.338,0.152,1
65,99548,136676,0.739,27,0.078,0.16,1
53,54339,60478,-0.612,26,0.305,0.266,1
40,104844,28329,-0.653,28,0.411,0.233,1
29,83659,239680,0.773,25,0.188,0.173,1
55,506150,357221,0.387,28,0.083,0.057,1
44,103790,29895,-2.5,15,0.397,0.198,1
28,74403,209070,-0.158,1,0.105,0.105,1
38,183062,397621,0.126,14,0.426,0.212,1
69,35848,256456,-0.34,7,0.504,0.137,1
34,94346,103093,0.16,8,0.126,0.143,1
29,243965,64167,-1.81,21,0.042,0.142,1
55,84920,161340,-2.5,6,0.49,0.241,0
30,37832,187474,-0.975,10,0.031,0.074,1
66,73836,163508,0.282,12,0.2,0.224,1
63,186246,127551,-2.5,2,0.02,0.201,0
70,108619,56614,-0.844,22,0.117,0.176,0
66,59168,219435,-1.923,23,0.069,0.153,0
33,63892,229156,-0.243,17,0.57,0.209,1
31,68031,179716,1.958,1,0.177,0.154,1
38,107814,165758,-0.217,24,0.211,0.153,1
44,175723,679910,-0.108,14,0.252,0.184,1
64,152326,85515,0.839,8,0.595,0.283,1
57,113048,475291,0.021,29,0.016,0.089,1
53,46247,77479,-0.215,26,0.293,0.21,1
64,46332,406950,0.927,14,0.316,0.171,1
53,117500,455168,0.472,14,0.419,0.167,1
39,45928,115225,0.289,28,0.295,0.088,1
41,80401,668811,-0.139,6,0.071,0.075,1
46,104782,228782,-0.346,13,0.363,0.2,1
25,50959,68108,0.917,18,0.159,0.104,1
58,53930,107114,-0.336,11,0.024,0.241,1
53,85863,415765,1.231,10,0.22,0.119,1
57,115773,344259,-1.047,4,0.471,0.213,1
47,153020,57882,1.434,9,0.122,0.145,1
60,121917,132331,0.472,11,0.535,0.143,1
68,93376,180153,-0.969,26,0.575,0.125,1
49,61974,94992,0.509,11,0.492,0.206,1
43,52686,1252197,-0.65,5,0.421,0.223,1
26,69712,185107,0.033,26,0.591,0.161,1
59,110474,141883,-0.487,11,0.519,0.215,1
66,106498,438080,-0.133,28,0.255,0.181,1
55,31496,107980,0.941,4,0.64,0.1,1
64,60762,371415,0.519,1,0.519,0.203,1
64,164361,33437,-1.125,28,0.708,0.162,1
60,93636,99718,-1.068,3,0.261,0.05,1
46,44314,385599,0.271,1,0.401,0.157,1
25,292282,616349,0.343,20,0.249,0.078,1
21,88707,74789,-0.674,10,0.17,0.106,1
31,109069,67343,1.591,15,0.326,0.165,1
42,109900,249969,0.813,13,0.237,0.175,1
58,74889,85619,-0.626,9,0.04,0.13,1
43,62554,117791,-0.722,15,0.293,0.212,1
22,259991,330101,-0.228,8,0.129,0.173,1
31,148623,91922,-0.332,7,0.283,0.155,1
69,135745,25578,1.256,7,0.314,0.183,1
70,120056,46510,0.985,4,0.307,0.252,1
39,54497,151350,0.035,16,0.143,0.051,1
61,170473,28038,0.678,17,0.218,0.258,1
56,59042,114800,0.823,1,0.541,0.143,1
67,103695,42852,0.058,14,0.242,0.133,1
65,39651,656275,0.403,23,0.371,0.156,1
52,32440,1052858,0.594,1,0.11,0.127,1
40,105526,57873,0.488,10,0.237,0.118,1
52,60055,188995,-0.779,29,0.018,0.231,1
36,33289,63198,-0.678,13,0.557,0.19,1
38,117933,113551,-0.289,1,0.291,0.065,1
51,259784,760334,-0.707,16,0.64,0.22,1
49,180294,98555,-1.473,13,0.403,0.212,1
50,79135,115955,0.676,7,0.102,0.091,1
40,90399,64223,0.346,3,0.607,0.191,1
41,140283,420820,-1.339,27,0.057,0.217,1
21,157728,7954,-0.241,25,0.343,0.084,1
51,75796,100697,-0.184,21,0.313,0.197,1
49,91551,143932,0.182,1,0.259,0.139,1
67,104597,82737,-1.082,27,0.121,0.213,1
46,118718,326303,-1.354,15,0.714,0.124,1
44,84206,442509,0.52,15,0.553,0.243,1
24,84755,42090,-1.534,27,0.405,0.165,0
30,179419,987102,-0.233,13,0.541,0.143,1
37,164773,41667,-0.326,8,0.217,0.137,0
39,114264,478379,-0.123,8,0.239,0.232,1
39,212590,171654,0.253,28,0.154,0.137,1
40,74187,95326,1.599,17,0.563,0.244,1
59,202613,103773,-1.599,18,0.457,0.193,1
27,118045,145543,0.877,18,0.697,0.097,1
37,461888,180948,-2.5,7,0.324,0.182,0
29,49579,65529,1.394,13,0.24,0.183,1
36,63761,121521,-2.043,29,0.156,0.095,1
55,110964,74966,2.436,5,0.547,0.18,1
23,109774,50254,-0.39,29,0.064,0.213,1
37,238622,71884,1.29,9,0.54,0.248,1
22,64433,53285,1.084,9,0.207,0.245,1
68,141496,102770,-0.436,1,0.312,0.323,1
